ISO3,Arabe
ABW,أروبا
AFG,أفغانستان
AGO,أنغولا
AIA,أنغويليا
ALB,ألبانيا
AND,أندورا
ARE,الإمارات المتحدة العربية
ARG,الأرجنتين
ARM,أرمينيا
ASM,ساموا الأمركية
ATA,أنتارتيكا
ATG,أنطيقا و بربودة
AUS,استراليا
AUT,النمسا
AZE,أذربيدجان
BDI,بورندي
BEL,بلجيكا
BEN,البنين
BFA,بوركينا فاسو
BGD,بنغلاداش
BGR,بلغاريا
BHR,البحرين
BHS,باهاماس
BIH,البوسنة
BLR,بيلاروسيا
BLZ,بليز
BMU,برمودا
BOL,بوليفيا
BRA,البرازيل
BRB,بربادوس
BRN,دار السلام بروني
BTN,بهوتان
BVT,جزيرة بوفي
BWA,بوتسوانا
CAF,جمهورية افريقيا الوسطى
CAN,كندا
CCK,جزر الكوكوس
CHE,سويسرا
CHL,الشيلي
CHN,الصين
CIV,ساحل العاج
CMR,الكامرون
COG,الكونغو
COK,جزر الكوك
COL,كولومبيا
COM,الكومورس
CPV,الرأس الأخضر
CRI,كوستاريكا
CUB,كوبا
CXR,جزر الكريسمس
CYM,جزر الكايمن
CYP,كيربوس
CZE,جمهورية التشيك
DEU,ألمانيا
DJI,دجيبوتي
DMA,الدومينيك
DNK,الدانيمارك
DOM,جمهورية الدومينيك
DZA,الجزائر
ECU,الاكواتور
EGY,مصر
ERI,اريتريا
ESH,الصحراء الغربية
ESP,اسبانيا
EST,استونيا
ETH,أثيوبيا
FIN,فنلاندا
FJI,فيجي
FLK,جزر فالك - مالفيناس -
FRA,فرنسا
FRO,جزر الفيروي
FSM,فيديرالية ولايات مقرونيزيا
GAB,الغابون
GBR,بريطانيا
GEO,جورجيا
GHA,غانا
GIB,جبل طارق
GIN,غينيا
GLP,غوادالوبي
GMB,قامبيا
GNB,غينيا بيساو
GNQ,غينيا الاستوائية
GRC,اليونان
GRD,غرناطة
GRL,غرينلاند
GTM,غواتيمالا
GUF,غويانا الفرنسية
GUM,غام
GUY,غوانا
HKG,هونغ كونغ
HMD,جزر الهيرد
HND,هندوراس
HRV,كرواتيا
HTI,هايتي
HUN,المجر
IDN,اندونيسيا
IND,الهند
IOT,الأراضي البريطانية في المحيط الهندي
IRL,ايرلندا
IRN,ايران
IRQ,العراق
ISL,اسلاندا
ISR,اسرائيل
ITA,ايطاليا
JAM,الجاماييك
JOR,الأردن
JPN,اليابان
KAZ,كازاخستان
KEN,كينيا
KGZ,كرجستان
KHM,كمبوديا
KIR,كيريباتي
KNA,سان كيتس و نفيس
KOR,كوريا الجنوبية
KWT,الكويت
LAO,لاووس
LBN,لبنان
LBR,ليبيريا
LBY,ليبيا
LCA,سلن لوسيا
LIE,ليشتنشتاين
LKA,سيريلانكا
LSO,ليزوثو
LTU,ليتوانيا
LUX,الليكسونبورغ
LVA,لاتفيا
MAC,ماكاو
MAR,المغرب
MCO,موناكو
MDA,مولدوفا
MDG,مدغشقر
MDV,المالديف
MEX,المكسيك
MHL,جزر المارشل
MKD,مقدونيا
MLI,المالي
MLT,مالطا
MMR,مينيمار
MNG,منغوليا
MNP,جزر الماريانا
MOZ,الموزمبيق
MRT,موريطانيا
MSR,مونسيرات
MTQ,المارتينيك
MUS,جزر الموريس
MWI,المالاوي
MYS,ماليزيا
MYT,مايوت
NAM,ناميبيا
NCL,كليدونيا الجديدة
NER,النيجر
NFK,جزر النورفولك
NGA,نيجيريا
NIC,نيكاراغوا
NIU,نيوا
NLD,هولندا
NOR,النرويج
NPL,النيبال
NRU,ناورو
NZL,زيلاندا الجديدة
OMN,عمان
PAK,الباكستان
PAN,باناما
PCN,بيتكارن
PER,البيرو
PHL,الفيليبين
PLW,بالاو
PNG,غينيا الجديدة
POL,بولاندا
PRI,بورتاريكا
PRK,كوريا الشمالية
PRT,البرتغال
PRY,البراغواي
PYF,بولينيسيا الفرنسية
QAT,قطر
REU,الاتحاد
ROM,رومانيا
RUS,روسيا
RWA,رواندا
SAU,المملكة العربية السعودية
SDN,السودان
SEN,السينيغال
SGP,سنغافورا
SGS,جورجيا الجنوبية
SHN,سانت هيلينا
SJM,سفالبار و جزر جون ماين
SLB,جزر السلمون
SLE,السيراليوني
SLV,السلفادور
SMR,سان مارينو
SOM,الصومال
SPM,سان بيار
STP,ساو طومي
SUR,السورينا
SVK,سلوفاكيا
SVN,سلوفينيا
SWE,السويد
SWZ,سوازيلاند
SYC,السيشال
SYR,سوريا
TCA,جزر الترك و الكاييك
TCD,تشاد
TGO,الطوغو
THA,تيلاندا
TJK,طاجكستان
TKL,توكيلو
TKM,توركمانستان
TMP,تيمور الشرقية
TON,تونغا
TTO,ترينيداد و توباغو
TUN,تونس
TUR,تركيا
TUV,توفالو
TWN,تايوان
TZA,تنزانيا
UGA,أوغندا
UKR,أوكرانيا
UMI,الجزر القاصرة البعيدة
URY,الأوروغواي
USA,الولايات المتحدةالأمريكية
UZB,أوزباكستان
VAT,الفاتيكان
VCT,سان فانسان و قرونادين
VEN,فينيزويلا
VGB,الجزر العذراء البريطانية
VIR,الجزر العذراء بالولايات المتحدة
VNM,فياتنام
VUT,فانواتو
WLF,جزر واليس و فوتونا
WSM,ساموا
YEM,اليمن
YUG,يوغسلافيا
ZAF,افريقيا الجنوبية
ZAR,الزائير
ZMB,زمبيا
ZWE,زمبابوي
